strategy,symbol,p_min_gap_atr,p_rr_target,p_stop_atr_mult,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill_wide,ZN,0.5,1.0,1.0,266,154,0.6883,0.5574,5.6795,9.47,0.00,112,0.6250,0.3841,3.6616,5.55,0.00,0.178,5.55,0.6250,-2.26,0.6250,-10.07,0.0179,-25.70,0.0179
gap_fill_wide,ZN,0.5,1.25,1.0,64,33,0.6061,0.8760,2.6443,19.62,0.00,31,0.7097,0.7944,3.5900,11.74,0.00,0.376,11.74,0.7097,3.92,0.7097,-3.89,0.0645,-19.51,0.0645
gap_fill_wide,ZN,0.5,1.5,1.0,26,17,0.6471,1.4260,2.5585,31.97,0.00,9,0.6667,0.9907,1.8461,15.25,0.00,0.488,15.25,0.6667,7.44,0.6667,-0.37,0.1111,-16.00,0.1111
gap_fill_wide,ZN,0.5,1.0,1.5,26,17,0.7647,1.3402,3.2590,59.25,0.00,9,0.6667,0.5494,1.3405,10.73,0.00,0.343,10.73,0.6667,2.91,0.6667,-4.90,0.1111,-20.52,0.1111
gap_fill_wide,ZN,0.5,1.25,1.5,14,10,0.7000,1.7302,2.6429,92.86,0.00,4,0.5000,0.4167,0.4943,11.86,0.00,0.379,11.86,0.5000,4.05,0.5000,-3.77,0.2500,-19.39,0.2500
gap_fill_wide,ZN,0.5,1.5,1.5,13,10,0.7000,1.7302,2.6429,92.86,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.5,1.0,2.0,14,10,0.8000,1.6254,3.3182,118.53,0.00,4,0.7500,0.7978,1.2895,49.11,0.00,1.571,49.11,0.7500,41.29,0.7500,33.48,0.5000,17.86,0.5000
gap_fill_wide,ZN,0.5,1.25,2.0,13,10,0.8000,1.6254,3.3182,118.53,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,0.5,1.5,2.0,10,8,0.7500,1.6927,2.7375,132.53,0.00,2,0.5000,0.3750,0.2727,35.71,0.00,1.143,35.71,0.5000,27.90,0.5000,20.09,0.5000,4.46,0.5000
gap_fill_wide,ZN,0.75,1.0,1.0,266,154,0.6883,0.5574,5.6795,9.47,0.00,112,0.6250,0.3841,3.6616,5.55,0.00,0.178,5.55,0.6250,-2.26,0.6250,-10.07,0.0179,-25.70,0.0179
gap_fill_wide,ZN,0.75,1.25,1.0,64,33,0.6061,0.8760,2.6443,19.62,0.00,31,0.7097,0.7944,3.5900,11.74,0.00,0.376,11.74,0.7097,3.92,0.7097,-3.89,0.0645,-19.51,0.0645
gap_fill_wide,ZN,0.75,1.5,1.0,26,17,0.6471,1.4260,2.5585,31.97,0.00,9,0.6667,0.9907,1.8461,15.25,0.00,0.488,15.25,0.6667,7.44,0.6667,-0.37,0.1111,-16.00,0.1111
gap_fill_wide,ZN,0.75,1.0,1.5,26,17,0.7647,1.3402,3.2590,59.25,0.00,9,0.6667,0.5494,1.3405,10.73,0.00,0.343,10.73,0.6667,2.91,0.6667,-4.90,0.1111,-20.52,0.1111
