strategy,symbol,p_min_gap_atr,p_rr_target,p_stop_atr_mult,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill_wide,ZT,0.75,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
