strategy,symbol,p_min_gap_atr,p_rr_target,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill,ZT,1.0,1.5,11,8,0.5000,0.8125,1.1769,38.09,3.00,3,0.3333,-0.1111,-0.1377,-5.21,3.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill,ZT,1.0,2.0,7,7,0.5714,1.0714,1.4499,50.22,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZT,1.25,1.0,15,12,0.5833,0.7500,1.5638,35.16,3.00,3,0.3333,-0.1111,-0.1377,-5.21,3.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill,ZT,1.25,1.25,12,9,0.5556,0.8704,1.4231,40.80,3.00,3,0.3333,-0.1111,-0.1377,-5.21,3.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill,ZT,1.25,1.5,11,8,0.5000,0.8125,1.1769,38.09,3.00,3,0.3333,-0.1111,-0.1377,-5.21,3.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill,ZT,1.25,2.0,7,7,0.5714,1.0714,1.4499,50.22,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZB,0.5,1.0,15,10,0.5000,0.7000,1.1803,65.62,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,0.5,1.25,14,9,0.4444,0.6667,1.0070,62.50,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,0.5,1.5,11,9,0.4444,0.6667,1.0070,62.50,3.00,2,0.5000,0.3333,0.2500,31.25,3.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill,ZB,0.5,2.0,9,9,0.4444,0.6667,1.0070,62.50,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZB,0.75,1.0,15,10,0.5000,0.7000,1.1803,65.62,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,0.75,1.25,14,9,0.4444,0.6667,1.0070,62.50,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,0.75,1.5,11,9,0.4444,0.6667,1.0070,62.50,3.00,2,0.5000,0.3333,0.2500,31.25,3.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill,ZB,0.75,2.0,9,9,0.4444,0.6667,1.0070,62.50,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZB,1.0,1.0,15,10,0.5000,0.7000,1.1803,65.62,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,1.0,1.25,14,9,0.4444,0.6667,1.0070,62.50,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,1.0,1.5,11,9,0.4444,0.6667,1.0070,62.50,3.00,2,0.5000,0.3333,0.2500,31.25,3.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill,ZB,1.0,2.0,9,9,0.4444,0.6667,1.0070,62.50,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZB,1.25,1.0,15,10,0.5000,0.7000,1.1803,65.62,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,1.25,1.25,14,9,0.4444,0.6667,1.0070,62.50,3.00,5,0.4000,0.0000,0.0000,0.00,3.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill,ZB,1.25,1.5,11,9,0.4444,0.6667,1.0070,62.50,3.00,2,0.5000,0.3333,0.2500,31.25,3.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill,ZB,1.25,2.0,9,9,0.4444,0.6667,1.0070,62.50,3.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill,ZF,0.5,1.0,22,17,0.5294,1.0980,1.8175,25.74,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,0.5,1.25,19,14,0.5000,1.2619,1.7514,29.58,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,0.5,1.5,16,13,0.4615,1.2564,1.6145,29.45,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,0.5,2.0,15,12,0.4167,1.2222,1.4461,28.65,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,0.75,1.0,22,17,0.5294,1.0980,1.8175,25.74,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,0.75,1.25,19,14,0.5000,1.2619,1.7514,29.58,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,0.75,1.5,16,13,0.4615,1.2564,1.6145,29.45,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,0.75,2.0,15,12,0.4167,1.2222,1.4461,28.65,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.0,1.0,21,16,0.5000,1.1042,1.7168,25.88,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,1.0,1.25,19,14,0.5000,1.2619,1.7514,29.58,3.00,5,0.4000,0.4000,0.4286,9.38,3.00,0.600,9.38,0.4000,5.47,0.4000,1.56,0.4000,-6.25,0.4000
gap_fill,ZF,1.0,1.5,16,13,0.4615,1.2564,1.6145,29.45,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.0,2.0,15,12,0.4167,1.2222,1.4461,28.65,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.25,1.0,19,16,0.5000,1.1042,1.7168,25.88,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.25,1.25,17,14,0.5000,1.2619,1.7514,29.58,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.25,1.5,16,13,0.4615,1.2564,1.6145,29.45,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
gap_fill,ZF,1.25,2.0,15,12,0.4167,1.2222,1.4461,28.65,3.00,3,0.3333,0.5556,0.3571,13.02,3.00,0.833,13.02,0.3333,9.11,0.3333,5.21,0.3333,-2.60,0.3333
